Identification,Single,Year,Peak-US-Position,Album,YouTube
1,Through the Wire,2003,15,The College Dropout,https://www.youtube.com/watch?v=GLTQPR8PoZU
2,All Falls Down (featuring Syleena Johnson),2004,7,The College Dropout,https://www.youtube.com/watch?v=8kyWDhB_QeI
3,Jesus Walks,2004,11,The College Dropout,https://www.youtube.com/watch?v=f9wJBdFy6sQ
4,The New Workout Plan,2004,0,The College Dropout,https://www.youtube.com/watch?v=ylT16QB6Uig
5,Diamonds from Sierra Leone,2005,43,Late Registration,https://www.youtube.com/watch?v=92FCRmggNqQ
6,Gold Digger (featuring Jamie Foxx),2005,1,Late Registration,https://www.youtube.com/watch?v=6vwNcNOTVzY
7,Heard 'Em Say (featuring Adam Levine),2005,26,Late Registration,https://www.youtube.com/watch?v=elVF7oG0pQs
8,Touch the Sky (featuring Lupe Fiasco),2006,42,Late Registration,https://www.youtube.com/watch?v=YkwQbuAGLj4
9,"Impossible (featuring Twista, Keyshia Cole and BJ)",2006,0,Mission: Impossible III soundtrack,https://www.youtube.com/watch?v=YU62UnpsoSo
10,Drive Slow (featuring Paul Wall and GLC),2006,0,Late Registration,https://www.youtube.com/watch?v=Q1ViJEYNki4
11,"Classic (Better than I've Ever Been) (with KRS-One, Nas and Rakim)",2007,0,0,https://www.youtube.com/watch?v=o6MYyMJm3dM
12,Can't Tell Me Nothing,2007,41,Graduation,https://www.youtube.com/watch?v=E58qLXBfLrs
13,Stronger,2007,1,Graduation,https://www.youtube.com/watch?v=PsO6ZnUZI0g
14,Good Life (featuring T-Pain),2007,7,Graduation,https://www.youtube.com/watch?v=B80pCGpZe-k
15,Flashing Lights (featuring Dwele),2007,29,Graduation,https://www.youtube.com/watch?v=ila-hAUXR5U
16,Homecoming,2008,69,Graduation,https://www.youtube.com/watch?v=LQ488QrqGE4
17,Love Lockdown,2008,3,808s & Heartbreak,https://www.youtube.com/watch?v=HZwMX6T5Jhk
18,Heartless,2008,2,808s & Heartbreak,https://www.youtube.com/watch?v=Co0tTeuUVhU
19,Amazing (featuring Young Jeezy),2009,81,808s & Heartbreak,https://www.youtube.com/watch?v=PH4JPgVD2SM
20,Paranoid (featuring Mr Hudson),2009,0,808s & Heartbreak,https://www.youtube.com/watch?v=irBP5FnksKc
21,"Forever (with Drake, Lil Wayne and Eminem)",2009,8,More Than a Game soundtrack and Relpase: Refill,https://www.youtube.com/watch?v=eDuRoPIOBjE
22,Power,2010,22,My Beauitful Dark Twisted Fantasy,https://www.youtube.com/watch?v=L53gjP-TtGE
23,Runaway (featuring Pusha T),2010,12,My Beauitful Dark Twisted Fantasy,https://www.youtube.com/watch?v=Bm5iA4Zupek
24,"Monster (featuring Jay-Z, Rick Ross, Nicki Manaj and Bon Iver)",2010,18,My Beauitful Dark Twisted Fantasy,https://www.youtube.com/watch?v=pS6HRKZQLFA
25,All of the Lights (featuring Rihanna and Kid Cudi),2010,18,My Beauitful Dark Twisted Fantasy,https://www.youtube.com/watch?v=HAfFfqiYLp0
26,Christmas in Harlem (featuring Cyhi the Prynce and Teyana Taylor),2010,0,0,https://www.youtube.com/watch?v=Emz2ciGhsXM
27,H•A•M (with Jay-Z),2011,23,Watch the Throne,https://www.youtube.com/watch?v=UtoHI0JEfDg
28,"Otis (with Jay-Z, featuring Otis Redding)",2011,12,Watch the Throne,https://www.youtube.com/watch?v=BoEKWtgJQAU
29,"Lift Off (with Jay-Z, featuring Beyoncé)",2011,0,Watch the Throne,https://www.youtube.com/watch?v=It7JtKyPKwQ
30,Niggas in Paris (with Jay-Z),2011,5,Watch the Throne,https://www.youtube.com/watch?v=gG_dA32oH44
31,"Why I Love You (with Jay-Z, featuring Mr Hudson)",2011,0,Watch the Throne,https://www.youtube.com/watch?v=hTsKN7NCRls
32,Gotta Have It (with Jay-Z),2011,69,Watch the Throne,https://www.youtube.com/watch?v=fSULYFCSaYI
33,"No Church in the Wild (with Jay-Z, featuring Frank Ocean)",2012,72,Watch the Throne,https://www.youtube.com/watch?v=FJt7gNi3Nr4
34,"Mercy (with Big Sean, Pusha T and 2 Chainz)",2012,13,Cruel Summer,https://www.youtube.com/watch?v=7Dqgr0wNyPo
35,Cold (featuring DJ Khaled),2012,86,Cruel Summer,https://www.youtube.com/watch?v=o0ADLHIlopE
36,New God Flow (with Pusha T),2012,89,Cruel Summer,https://www.youtube.com/watch?v=nRdYPYf7eds
37,Clique (with Jay-Z and Big Sean),2012,12,Cruel Summer,https://www.youtube.com/watch?v=7Dqgr0wNyPo
38,Black Skinhead,2013,69,Yeezus,https://www.youtube.com/watch?v=q604eed4ad0
39,Bound 2,2013,12,Yeezus,https://www.youtube.com/watch?v=BBAtAM7vtgc
40,Only One (featuring Paul McCartney),2014,35,0,https://www.youtube.com/watch?v=WibQR0tQ0P8
41,FourFiveSeconds (with Rihanna and Paul McCartney),2015,4,0,https://www.youtube.com/watch?v=kt0g4dWxEBo
42,"All Day (featuring Theophilius London, Allan Kingdom and Paul McCartney)",2015,15,0,https://www.youtube.com/watch?v=mc-ccZXsIm4
43,Famous,2016,34,The Life of Pablo,https://www.youtube.com/watch?v=p7FCgw_GlWc
44,"Father Stretch My Hands, Pt. 1",2016,37,The Life of Pablo,https://www.youtube.com/watch?v=wuO4_P_8p-Q
45,Pt. 2,2016,54,The Life of Pablo,https://www.youtube.com/watch?v=xp8z7pconzw
46,"Champions (with Gucci Mane, Big Sean, 2 Chainz, Travis Scott, yo Gotti, Quavo and Desiigner)",2016,71,Cruel Winter,https://www.youtube.com/watch?v=YIoAZ0Sh8-U
47,Fade,2016,47,The Life of Pablo,https://www.youtube.com/watch?v=IxGvm6btP1A
48,Lift Yourself,2018,0,0,https://www.youtube.com/watch?v=8fbyfDbi-MI
49,Ye vs. the People (featuring T.I.),2018,85,0,https://www.youtube.com/watch?v=qc_8jcHYBis
50,Yikes,2018,8,Ye,https://www.youtube.com/watch?v=kPPyUO6m3-4
51,All Mine,2018,11,Ye,https://www.youtube.com/watch?v=TrQ7w1bdNvY
52,XTCY,2018,0,0,https://www.youtube.com/watch?v=x_z3oahqCLA
53,I Love It (with Lil Pump),2018,6,Harverd Dropout,https://www.youtube.com/watch?v=cwQgjq0mCdE
